ds,yhat,yhat_lower,yhat_upper
2025-02-28 18:00:00,5.300602091139225,3.406679477115961,7.270063190134306
2025-02-28 18:30:00,3.6583356128495703,1.7426656515705583,5.6497706924182385
2025-02-28 19:00:00,2.7645865710526776,0.9347153864658744,4.652854951670393
2025-02-28 19:30:00,2.846908706626185,0.8529472404519012,4.75238690549597
2025-02-28 20:00:00,3.9453447305026312,1.9752400229004365,5.83778060104373
2025-02-28 20:30:00,5.872015510763908,3.827770316079716,7.703064804680765
2025-02-28 21:00:00,8.21936170712084,6.241870057965169,10.105363682551044
2025-02-28 21:30:00,10.420178493822608,8.512048275922362,12.333483346802376
2025-02-28 22:00:00,11.850221480733921,9.985729785130616,13.691548464798545
2025-02-28 22:30:00,11.953314786161538,9.96896829601612,13.879320758789458
2025-02-28 23:00:00,10.362345156648122,8.37849579272059,12.35404194960878
2025-02-28 23:30:00,6.989071257727778,5.2239433761241685,8.848222553989725
2025-03-01 00:00:00,2.061631254039037,0.21249095650443495,4.082872120741878
2025-03-01 00:30:00,-3.900276345126363,-5.881081581501364,-2.029578698539811
2025-03-01 01:00:00,-10.168897895693044,-12.081120514755648,-8.25865177433221
2025-03-01 01:30:00,-15.933965625361708,-17.801931893281846,-13.896573684342302
2025-03-01 02:00:00,-20.44436449190867,-22.21712022295936,-18.63857804674014
2025-03-01 02:30:00,-23.136692037626947,-25.061426555288442,-21.32088535694904
2025-03-01 03:00:00,-23.724830402458092,-25.5431738299113,-21.75334631630919
2025-03-01 03:30:00,-22.23379095129439,-24.02366190819368,-20.411763219303108
2025-03-01 04:00:00,-18.973749599299452,-20.84304471445213,-17.028003712258247
2025-03-01 04:30:00,-14.46328802954179,-16.528128899959807,-12.809455752798636
2025-03-01 05:00:00,-9.321290311339016,-11.23164135326853,-7.374556785701833
2025-03-01 05:30:00,-4.152360386067935,-6.138681663984303,-2.382763973520378
2025-03-01 06:00:00,0.5500188541949065,-1.346527600544666,2.475835937905567
2025-03-01 06:30:00,4.464578192025466,2.5172532876691545,6.371173196017814
2025-03-01 07:00:00,7.459535503825872,5.526843245408915,9.415585188242943
2025-03-01 07:30:00,9.568953116307304,7.6847284668901095,11.524197320390165
2025-03-01 08:00:00,10.940294986311638,9.092547461146879,12.815570890973204
2025-03-01 08:30:00,11.770562722166284,9.909010140146881,13.692942723443034
2025-03-01 09:00:00,12.248668700841957,10.224582506887295,14.103633846029869
2025-03-01 09:30:00,12.51733923273613,10.547083784370093,14.525897247917431
2025-03-01 10:00:00,12.660390839132226,10.741211983115663,14.579877733305523
2025-03-01 10:30:00,12.712992497922517,10.643437001167886,14.671952843210263
2025-03-01 11:00:00,12.685902573356875,10.795802800352988,14.492035304549926
2025-03-01 11:30:00,12.591455088212967,10.608156385365238,14.426178552122211
2025-03-01 12:00:00,12.46000259549086,10.574173466658454,14.474685221966519
2025-03-01 12:30:00,12.34009593022946,10.352036752051026,14.28153987426032
2025-03-01 13:00:00,12.282323062119737,10.452944335228066,14.123893615229072
2025-03-01 13:30:00,12.313279731927786,10.494644862185439,14.317649025395042
2025-03-01 14:00:00,12.41049327299988,10.471152592098871,14.4364857763157
2025-03-01 14:30:00,12.489828980496885,10.597677517563822,14.38445621014719
2025-03-01 15:00:00,12.41363587358361,10.461523442378276,14.252377340742017
2025-03-01 15:30:00,12.021509444673264,10.280140250266985,14.12396219969626
2025-03-01 16:00:00,11.177915729218007,9.381966751588678,13.023441781730776
2025-03-01 16:30:00,9.824346056647595,7.970839170927139,11.747142381551974
2025-03-01 17:00:00,8.020264640163319,6.020479447935747,9.922284013531192
2025-03-01 17:30:00,5.9581579280313655,4.033961831557553,7.924380068906966
2025-03-01 18:00:00,3.943553897971426,1.8642827690707173,5.809855967393898
2025-03-01 18:30:00,2.3397120221582406,0.3720277969800717,4.231559548577787
2025-03-01 19:00:00,1.486544473423241,-0.43045498104084495,3.4875587677206323
2025-03-01 19:30:00,1.6115445316918344,-0.14808151895821176,3.480179522229428
2025-03-01 20:00:00,2.7546896888057777,0.7175598357469137,4.562388435822887
2025-03-01 20:30:00,4.728030983064596,2.8154788270056126,6.621423223447618
2025-03-01 21:00:00,7.123934795070552,5.187563651185993,9.012391148085461
2025-03-01 21:30:00,9.375117740769179,7.51703184444617,11.183413312995647
2025-03-01 22:00:00,10.857252775484705,9.052774480652598,12.764398138902212
2025-03-01 22:30:00,11.014077462836918,9.112435284134882,13.002901338123177
2025-03-01 23:00:00,9.47838829760271,7.514068914618106,11.37489810896029
2025-03-01 23:30:00,6.161850211124902,4.312487351339456,8.09027237335476
2025-03-02 00:00:00,1.2925043750055778,-0.6953556581388343,3.0885230315738017
2025-03-02 00:30:00,-4.610050721133911,-6.7293607532139195,-2.5956533371348107
2025-03-02 01:00:00,-10.8181642393495,-12.582968888836248,-8.834060301957994
2025-03-02 01:30:00,-16.521673752190814,-18.42283299084339,-14.548650679693877
2025-03-02 02:00:00,-20.96957184827959,-22.863953638070008,-19.20659130183504
2025-03-02 02:30:00,-23.59856572464838,-25.32537076011419,-21.649699316543668
2025-03-02 03:00:00,-24.12264893551862,-26.00402873007112,-22.183619000647774
2025-03-02 03:30:00,-22.566945750797977,-24.465364768008673,-20.636596970015656
2025-03-02 04:00:00,-19.241746207351476,-21.209726078580086,-17.38586999091182
2025-03-02 04:30:00,-14.665747049315975,-16.735021691387974,-12.862870605849308
2025-03-02 05:00:00,-9.457948070548031,-11.426460632725686,-7.500444868272879
2025-03-02 05:30:00,-4.223069317924027,-6.193489189517314,-2.242016827088725
2025-03-02 06:00:00,0.5452901091507316,-1.393983172789183,2.5479391448835638
2025-03-02 06:30:00,4.525744964639789,2.5994229884955007,6.411134327382909
2025-03-02 07:00:00,7.586397555142527,5.662587562843375,9.57948182103867
2025-03-02 07:30:00,9.761195372621055,7.8077317328098355,11.668390027660207
2025-03-02 08:00:00,11.197488550953928,9.246169889699184,13.07701982582745
2025-03-02 08:30:00,12.092166158909443,10.323548898848077,14.082050071944163
2025-03-02 09:00:00,12.634029584011255,10.823777429389303,14.377099422487927
2025-03-02 09:30:00,12.965695962340451,11.04815607845168,14.787351957334998
2025-03-02 10:00:00,13.170874714070631,11.153738035871886,15.25221608947971
2025-03-02 10:30:00,13.284630038805465,11.37801547117782,15.225377884960373
2025-03-02 11:00:00,13.317618091817623,11.529621258608422,15.201326309563852
2025-03-02 11:30:00,13.282073493102173,11.338398678295576,15.095138207010926
2025-03-02 12:00:00,13.208252428327537,11.28103523776785,15.296237006576355
2025-03-02 12:30:00,13.144612620973163,11.251514529269077,14.997735604508224
2025-03-02 13:00:00,13.141652396428125,11.36503210599494,14.919620227256221
2025-03-02 13:30:00,13.225881518359884,11.349269926205636,14.988706994297528
2025-03-02 14:00:00,13.374745203447832,11.563218644050478,15.273848291407939
2025-03-02 14:30:00,13.504030666792692,11.670017534159728,15.392592013644999
2025-03-02 15:00:00,13.476013055164824,11.412235753272249,15.320065066892777
